Strata,unique_id,LCC,Bgy_Name,Mun_Name,Pro_Name
2,282C2,Dipterocarp Forest Closed,San Isidro,SAN FRANCISCO,AGUSAN DEL SUR
2,282D2,Dipterocarp Forest Closed,San Isidro,SAN FRANCISCO,AGUSAN DEL SUR
2,283B2,Dipterocarp Forest Closed,Simbalan,BUENAVISTA,AGUSAN DEL NORTE
2,283C2,Dipterocarp Forest Closed,Simbalan,BUENAVISTA,AGUSAN DEL NORTE
2,283D2,Dipterocarp Forest Closed,Simbalan,BUENAVISTA,AGUSAN DEL NORTE
2,284B2,Dipterocarp Forest Closed,Mahaba,MARIHATAG,SURIGAO DEL SUR
2,284C2,Dipterocarp Forest Closed,Mahaba,MARIHATAG,SURIGAO DEL SUR
2,284D2,Dipterocarp Forest Closed,Mahaba,MARIHATAG,SURIGAO DEL SUR
2,285B2,Dipterocarp Forest Closed,Osme├▒a,DAPA,SURIGAO DEL NORTE
2,285C2,Dipterocarp Forest Closed,Osme├▒a,DAPA,SURIGAO DEL NORTE
2,285D2,Dipterocarp Forest Closed,Osme├▒a,DAPA,SURIGAO DEL NORTE
2,286B2,Dipterocarp Forest Closed,Lobo,CANTILAN,SURIGAO DEL SUR
2,286C2,Dipterocarp Forest Closed,Lobo,CANTILAN,SURIGAO DEL SUR
2,286D2,Dipterocarp Forest Closed,Lobo,CANTILAN,SURIGAO DEL SUR
2,287B2,Dipterocarp Forest Closed,Manlico,CORTES,SURIGAO DEL SUR
2,287C2,Dipterocarp Forest Closed,Manlico,CORTES,SURIGAO DEL SUR
2,287D2,Dipterocarp Forest Closed,Manlico,CORTES,SURIGAO DEL SUR
2,288B2,Dipterocarp Forest Closed,San Antonio,MARIHATAG,SURIGAO DEL SUR
2,288C2,Dipterocarp Forest Closed,San Antonio,MARIHATAG,SURIGAO DEL SUR
2,288D2,Dipterocarp Forest Closed,San Antonio,MARIHATAG,SURIGAO DEL SUR
2,289B2,Dipterocarp Forest Closed,Mahayahay,SAN LUIS,AGUSAN DEL SUR
2,289C2,Dipterocarp Forest Closed,Mahayahay,SAN LUIS,AGUSAN DEL SUR
2,289D2,Dipterocarp Forest Closed,Mahayahay,SAN LUIS,AGUSAN DEL SUR
2,290B2,Dipterocarp Forest Closed,Santiago (Pob.),LORETO,DINAGAT ISLANDS
2,290C2,Dipterocarp Forest Closed,Santiago (Pob.),LORETO,DINAGAT ISLANDS
2,290D2,Dipterocarp Forest Closed,Santiago (Pob.),LORETO,DINAGAT ISLANDS
2,291B2,Dipterocarp Forest Closed,Kinamaybay,ESPERANZA,AGUSAN DEL SUR
2,291C2,Dipterocarp Forest Closed,Kinamaybay,ESPERANZA,AGUSAN DEL SUR
2,291D2,Dipterocarp Forest Closed,Kinamaybay,ESPERANZA,AGUSAN DEL SUR
2,292B2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
2,292C2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
2,292D2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
2,293B2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
2,293C2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
2,293D2,Dipterocarp Forest Closed,General Aguinaldo (Bolod-bolod),LIBJO (ALBOR),DINAGAT ISLANDS
2,294B2,Dipterocarp Forest Closed,Valentina,LA PAZ,AGUSAN DEL SUR
2,294C2,Dipterocarp Forest Closed,Valentina,LA PAZ,AGUSAN DEL SUR
2,294D2,Dipterocarp Forest Closed,Valentina,LA PAZ,AGUSAN DEL SUR
2,295B2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
2,295C2,Dipterocarp Forest Closed,Binicalan,SAN LUIS,AGUSAN DEL SUR
